Date, Activity, Exp. CIs, Est. hours, Act. hours
01, Correct toc2mmap.py script to generate .mm files from TOC txt file for NCERT 11th Math, test/real_ips;test/real_ops;src/toc2mmap.py,0.5,
01, Correct toc2mmap.py script to generate .mm files from TOC txt file for NCERT 11th Phy, test/real_ips;test/real_ops;src/toc2mmap.py,0.5,
01, Correct toc2mmap.py script to generate .mm files from TOC txt file for NCERT 11th Chem, test/real_ips;test/real_ops;src/toc2mmap.py,0.5,
01, Correct toc2mmap.py script to generate .mm files from TOC txt file for NCERT 12th Math, test/real_ips;test/real_ops;src/toc2mmap.py,0.5,
01, Correct toc2mmap.py script to generate .mm files from TOC txt file for NCERT 12th Phy, test/real_ips;test/real_ops;src/toc2mmap.py,0.5,
01, Correct toc2mmap.py script to generate .mm files from TOC txt file for NCERT 12th Chem, test/real_ips;test/real_ops;src/toc2mmap.py,0.5,
01, Collect Breithaupt problem-solution text files & check-in into github, content/raw/problems,1.0,
01, Collect other downloaded problem-solution files & check-in into github, content/raw/problems, 2.0,
01, check-in Rob Lewis chemistry already edited as mmap file into github, content/mmaps,1.0,
01, Write script to xtract problem/solutions from PDF file, src/xtrct_pdf_probs.py, 3.0,
02, Check if there are any math/phy/chem wiki s/w which we can modify, wiki/<anal-page>,1.0,
02, Solve the latest FTRE exam math paper. Create one wiki page for each problem, content/db/ftre_2013, 2.0,
02, Solve the latest FTRE exam phy paper. Create one wiki page for each problem, content/db/ftre_2013, 3.0,
02, Solve the latest FTRE exam chem paper. Create one wiki page for each problem, content/db/ftre_2013, 3.0,
03, Prototype simple webapp for reading questions & reading/editing answers. Can use MathJax, src/webapp/,6.0,
04, Create topic wiki pages (from mmap file) from NCERT Chem 11th Vol1 book, content/db/topics/chem, 8.0,
05, Create topic wiki pages (from mmap file) from NCERT Chem 11th Vol2 book, content/db/topics/chem, 8.0,
06, Create topic wiki pages (from mmap file) from NCERT Phy 11th Vol1 book, content/db/topics/phy, 8.0,
07, Create topic wiki pages (from mmap file) from NCERT Phy 11th Vol2 book, content/db/topics/phy, 8.0,
08, Create topic wiki pages (from mmap file) from NCERT Math 11th book, content/db/topics/math, 8.0,
09, Create topic wiki pages (from mmap file) from NCERT Math 12th Vol1 book, content/db/topics/math, 8.0,
10, Create topic wiki pages (from mmap file) from NCERT Math 12th Vol2 book, content/db/topics/math, 8.0,
11, Create topic wiki pages (from mmap file) from NCERT Phy 12th Vol1 book, content/db/topics/phy, 8.0,
12, Create topic wiki pages (from mmap file) from NCERT Phy 12th Vol2 book, content/db/topics/phy, 8.0,
13, Create topic wiki pages (from mmap file) from NCERT Chem 12th Vol1 book, content/db/topics/chem, 8.0,
14, Create topic wiki pages (from mmap file) from NCERT Chem 12th Vol2 book, content/db/topics/chem, 8.0,
15, Extract & solve problems in NCERT 11th books, content/db/ncert_*, 12.0,
16, Extract & solve problems in NCERT 12th Math books, content/db/ncert_math, 9.0,
17, Extract & solve problems in NCERT 12th Phy books, content/db/ncert_phy, 9.0,
18, Extract & solve problems in NCERT 12th Chem books, content/db/ncert_chem, 9.0,
